PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-8-21,27,23,19,17,16,16,81,68,54,1012,1011,1010,16,15,10,13,1,23,0.00,4,,280
2015-8-22,28,24,20,17,17,16,81,66,51,1013,1012,1011,16,13,10,16,3,26,0.00,4,,270
2015-8-23,28,24,19,18,17,17,87,71,54,1015,1013,1012,16,15,11,16,3,23,0.00,1,,260
2015-8-24,31,25,19,18,17,17,87,69,51,1014,1013,1011,16,14,8,14,2,,0.00,1,,260
2015-8-25,31,26,22,19,18,17,79,62,45,1015,1013,1011,16,15,11,14,2,23,T,0,Rain,283
2015-8-26,33,28,23,20,18,16,79,60,41,1014,1013,1012,16,14,8,14,3,23,0.00,0,,277
2015-8-27,34,28,22,19,17,14,84,59,34,1015,1013,1011,16,15,13,14,1,23,0.00,0,,280
2015-8-28,36,29,23,19,17,13,79,53,27,1012,1011,1009,16,16,11,14,2,23,0.00,0,,260
2015-8-29,34,29,23,19,18,15,79,58,36,1012,1011,1009,16,16,16,14,3,26,0.00,0,,241
2015-8-30,32,27,22,19,18,15,79,63,46,1012,1011,1009,16,16,16,13,3,21,0.00,0,,270
2015-8-31,29,25,21,18,17,16,84,66,47,1013,1011,1010,16,16,13,14,3,24,0.00,3,,131
2015-9-1,28,24,21,17,16,14,73,58,43,1014,1012,1011,16,16,13,13,3,24,0.00,5,,246
2015-9-2,27,23,19,17,16,14,81,68,54,1014,1013,1011,16,16,14,14,3,27,0.00,4,,237
2015-9-3,27,23,19,16,14,13,78,62,45,1014,1012,1009,16,16,13,14,4,24,0.00,4,,225
2015-9-4,26,23,19,15,13,11,70,58,46,1012,1011,1010,16,16,16,14,4,26,0.00,4,,148
2015-9-5,29,24,18,16,15,14,78,61,43,1013,1012,1011,16,16,16,13,3,23,0.00,1,,261
2015-9-6,32,25,18,18,15,13,81,59,36,1013,1012,1010,16,16,16,14,2,19,0.00,0,,280
2015-9-7,34,27,20,18,14,8,84,55,25,1012,1011,1009,16,16,16,13,2,23,0.00,0,,-1
2015-9-8,36,29,23,17,16,13,68,49,30,1011,1009,1007,16,16,16,16,2,26,0.00,0,,277
2015-9-9,38,32,24,17,16,13,60,44,28,1009,1009,1007,16,16,16,14,2,24,0.00,0,,301
2015-9-10,36,31,26,19,17,13,62,48,34,1011,1010,1009,16,16,16,14,3,21,0.00,0,,273
2015-9-11,35,30,24,18,15,13,58,47,35,1013,1011,1010,16,16,16,14,2,21,0.00,0,,280
2015-9-12,32,28,24,19,16,13,74,55,36,1013,1012,1010,16,16,16,13,3,23,T,0,Rain,287
2015-9-13,33,28,22,19,17,14,79,58,36,1011,1009,1007,16,16,16,14,3,26,0.00,1,,296
2015-9-14,29,26,22,19,18,17,84,69,54,1011,1009,1008,16,16,13,14,3,24,0.00,6,,257
2015-9-15,27,23,19,21,19,17,93,81,69,1013,1010,1008,16,9,1,16,6,27,60.71,8,Rain,100
2015-9-16,26,22,19,17,16,12,87,67,46,1015,1014,1013,16,16,14,13,2,27,0.00,4,Rain,260
2015-9-17,28,23,18,16,14,13,84,63,42,1014,1013,1011,16,16,16,14,2,24,0.00,0,,-1
2015-9-18,31,24,18,18,16,13,87,62,37,1011,1009,1007,16,16,16,14,2,23,0.00,0,,275
2015-9-19,33,27,19,18,16,13,87,63,38,1009,1008,1007,16,16,16,13,1,19,0.00,0,,270
2015-9-20,37,29,21,18,16,13,79,52,25,1009,1008,1006,16,16,16,14,3,24,0.00,0,,292
2015-9-21,30,26,22,19,17,14,79,63,47,1010,1008,1005,16,16,10,19,4,27,0.00,1,,26
2015-9-22,29,25,21,19,18,17,84,66,48,1013,1012,1010,16,15,11,13,3,23,0.00,1,,251
2015-9-23,30,25,20,19,18,17,87,68,48,1013,1012,1010,16,14,10,13,2,23,0.00,1,,278
2015-9-24,33,27,20,19,18,17,90,66,41,1012,1011,1009,16,15,10,14,1,24,0.00,0,,270
2015-9-25,34,27,21,20,18,17,90,66,41,1012,1010,1009,16,15,11,14,1,23,0.00,0,,280
2015-9-26,33,27,21,20,18,16,90,66,42,1010,1009,1007,16,16,13,13,1,19,0.00,0,,267
2015-9-27,32,26,19,19,18,17,90,67,43,1010,1009,1008,16,12,3,13,1,21,0.00,2,,260
2015-9-28,31,26,20,19,17,13,90,67,43,1012,1011,1010,16,14,8,14,2,23,0.00,0,,270
2015-9-29,31,24,18,17,16,14,87,65,42,1013,1011,1010,16,16,14,14,1,23,0.00,0,,280
2015-9-30,32,26,19,17,16,12,87,62,37,1011,1010,1008,16,16,13,11,1,18,0.00,0,,290
2015-10-1,31,26,21,18,16,12,84,62,39,1013,1011,1010,16,16,11,14,3,27,0.00,0,,260
2015-10-2,29,24,20,17,16,12,81,61,40,1013,1010,1007,16,16,16,16,5,31,0.00,0,,301
2015-10-3,29,24,18,18,16,14,84,64,44,1007,1003,1001,16,16,11,14,4,27,0.00,2,,200
2015-10-4,23,20,17,16,13,9,84,64,44,1007,1003,1001,16,15,6,11,2,21,1.27,8,Rain,185
2015-10-5,24,21,17,17,14,12,93,71,49,1016,1012,1007,16,13,1,14,2,23,10.16,5,Fog-Rain,105
2015-10-6,26,21,17,16,14,13,93,72,50,1019,1017,1016,16,16,16,13,2,26,0.00,1,,296
2015-10-7,29,23,18,18,16,14,84,65,45,1018,1016,1015,16,16,16,16,2,27,0.00,0,,273
2015-10-8,32,25,18,18,17,14,87,63,39,1016,1014,1012,16,16,13,11,1,18,0.00,0,,270
2015-10-9,38,29,20,17,13,7,81,50,18,1013,1012,1010,16,16,13,14,2,24,0.00,0,,255
2015-10-10,38,30,22,14,11,8,57,37,17,1014,1013,1011,16,16,16,14,3,29,0.00,0,,324
2015-10-11,38,31,23,16,12,8,54,36,17,1013,1012,1010,16,16,16,13,3,23,0.00,0,,79
2015-10-12,34,28,23,18,14,12,73,51,28,1014,1012,1011,16,16,16,11,1,16,0.00,0,,40
2015-10-13,33,28,23,21,18,14,87,64,41,1017,1015,1013,16,16,16,14,4,26,0.00,0,,152
2015-10-14,30,26,22,21,20,19,93,74,55,1016,1014,1012,16,16,13,11,1,23,0.00,1,,273
2015-10-15,28,25,21,20,19,18,84,71,58,1014,1013,1011,16,16,16,14,3,26,0.00,5,,270
2015-10-16,24,23,21,19,18,18,84,77,69,1013,1012,1011,16,16,14,13,2,21,0.00,8,,277
2015-10-17,28,24,21,19,18,17,90,74,58,1013,1012,1010,16,16,16,14,2,24,0.00,3,,275
2015-10-18,26,23,20,19,18,16,84,71,58,1014,1012,1011,16,15,5,14,2,24,T,7,Rain,273
2015-10-19,26,22,18,17,15,13,87,66,45,1014,1013,1011,16,16,16,14,2,31,0.00,5,,260
2015-10-20,27,22,17,16,13,12,81,62,42,1012,1010,1009,16,16,16,13,3,26,0.00,0,,100
2015-10-21,29,23,17,17,14,12,78,61,43,1012,1011,1010,16,16,16,14,3,26,0.00,0,,73
2015-10-22,27,23,18,17,16,14,81,63,45,1015,1013,1012,16,16,16,11,2,19,0.00,2,,105
2015-10-23,27,22,17,17,16,14,90,72,54,1015,1014,1012,16,15,10,13,2,21,0.00,2,,273
2015-10-24,32,25,17,16,8,1,73,45,17,1014,1012,1010,16,16,16,11,1,19,0.00,0,,28
2015-10-25,30,24,19,17,9,3,81,51,20,1013,1012,1011,16,16,16,10,1,18,0.00,0,,135
2015-10-26,31,24,16,17,11,5,81,51,21,1014,1012,1011,16,16,16,13,2,24,0.00,0,,270
2015-10-27,28,22,16,17,12,7,87,58,28,1014,1013,1012,16,15,13,13,1,19,0.00,0,,305
2015-10-28,27,23,19,17,16,14,81,65,48,1013,1011,1009,16,14,10,19,2,32,0.00,0,,190
2015-10-29,28,24,20,9,5,2,44,33,22,1009,1008,1006,16,16,16,21,9,35,0.00,0,,323
2015-10-30,30,24,18,10,2,-4,47,29,10,1013,1011,1008,16,16,16,13,2,24,0.00,0,,225
2015-10-31,32,24,16,17,6,0,81,48,15,1017,1015,1013,16,16,16,11,1,19,0.00,0,,280
2015-11-1,30,23,15,17,11,4,87,54,20,1017,1015,1013,16,16,11,11,1,21,0.00,0,,270
2015-11-2,24,19,15,17,13,9,87,72,57,1013,1010,1007,16,15,6,24,5,39,T,6,Rain,178
2015-11-3,21,17,12,9,7,4,77,57,37,1012,1010,1009,16,16,16,19,3,34,0.00,1,,285
2015-11-4,21,16,10,6,2,-6,68,44,20,1019,1014,1012,16,16,16,14,3,26,0.00,0,,275
2015-11-5,22,16,10,4,-1,-4,46,32,18,1023,1021,1019,16,16,16,13,3,23,0.00,0,,344
2015-11-6,25,18,11,7,1,-4,55,35,15,1021,1019,1017,16,16,16,11,1,18,0.00,0,,20
2015-11-7,27,18,10,3,-2,-8,51,31,10,1019,1017,1015,16,16,16,16,4,26,0.00,0,,66
2015-11-8,26,18,11,13,4,-4,78,49,19,1016,1015,1013,16,16,16,13,3,18,0.00,0,,30
2015-11-9,20,17,13,11,8,6,72,57,42,1016,1015,1014,16,16,8,19,4,31,0.00,5,,100
2015-11-10,20,15,10,7,2,-2,74,50,26,1024,1019,1016,16,16,4,16,4,32,0.00,0,,321
2015-11-11,22,16,9,4,-2,-8,51,33,14,1026,1023,1020,16,16,16,13,2,21,0.00,0,,299
2015-11-12,25,18,11,7,-9,-25,55,29,3,1020,1017,1015,16,16,16,13,2,21,0.00,0,,329
2015-11-13,28,19,10,5,-5,-19,51,28,4,1016,1014,1013,16,16,16,11,1,19,0.00,0,,280
2015-11-14,26,18,11,11,-2,-13,77,42,7,1015,1013,1012,16,15,8,14,2,19,0.00,0,,354
2015-11-15,21,16,11,9,4,-1,66,51,36,1013,1012,1011,16,16,13,19,7,37,0.00,2,,284
2015-11-16,17,14,10,-2,-8,-14,41,27,12,1019,1016,1012,16,16,16,27,10,43,0.00,0,,317
2015-11-17,22,15,7,6,-4,-21,55,30,5,1022,1020,1018,16,16,14,14,0,21,0.00,0,,270
2015-11-18,24,17,9,10,4,-1,69,45,20,1018,1016,1014,16,16,13,11,0,16,0.00,0,,270
2015-11-19,30,21,11,11,3,-4,72,42,11,1016,1014,1012,16,16,14,13,2,16,0.00,0,,344
2015-11-20,29,21,13,9,3,-2,56,35,13,1014,1013,1011,16,16,14,10,0,13,0.00,0,,130
2015-11-21,31,22,14,7,2,-4,60,35,10,1015,1014,1011,16,16,16,10,1,13,0.00,0,,37
2015-11-22,29,22,15,-2,-5,-10,27,17,7,1015,1013,1011,16,16,16,11,3,18,0.00,0,,9
2015-11-23,27,20,13,11,2,-7,72,44,16,1014,1013,1012,16,16,10,11,3,18,0.00,0,,42
2015-11-24,21,16,11,11,2,-9,72,45,17,1015,1013,1011,16,16,13,13,2,19,0.25,4,Rain,270
2015-11-25,17,14,10,6,2,-10,71,46,20,1014,1012,1010,16,16,16,14,4,29,T,1,,270
2015-11-26,18,13,9,6,4,3,71,57,43,1016,1015,1014,16,16,16,13,3,19,0.00,3,,90
2015-11-27,18,14,10,6,3,-2,68,48,27,1017,1016,1014,16,16,16,13,4,21,0.00,2,,87
2015-11-28,18,13,8,4,-2,-6,71,46,20,1019,1017,1016,16,16,16,10,2,16,0.00,0,,23
2015-11-29,19,15,10,2,-3,-8,50,33,16,1022,1020,1018,16,16,16,13,2,23,0.00,0,,355
2015-11-30,19,13,8,4,-4,-10,55,34,13,1022,1020,1018,16,16,16,13,3,19,0.00,0,,21
2015-12-1,22,16,8,6,-2,-9,61,37,12,1021,1019,1017,16,16,16,11,3,16,0.00,0,,29
2015-12-2,26,18,10,6,-5,-8,51,31,11,1021,1019,1016,16,16,16,11,2,19,0.00,0,,33
2015-12-3,24,19,13,9,-1,-8,72,43,14,1019,1017,1016,16,16,16,11,3,21,0.00,0,,18
2015-12-4,19,15,11,12,8,4,80,64,48,1022,1019,1017,16,16,16,8,0,11,0.00,3,,5
2015-12-5,25,17,9,3,0,-4,61,38,14,1024,1022,1021,16,16,16,10,2,16,0.00,0,,16
2015-12-6,26,19,13,10,-1,-8,72,41,10,1024,1022,1020,16,16,16,11,3,18,0.00,0,,360
2015-12-7,27,20,13,12,-1,-8,67,38,9,1021,1019,1016,16,16,16,13,2,19,0.00,0,,24
2015-12-8,28,21,12,9,4,-2,60,38,15,1018,1016,1015,16,15,2,10,0,18,0.00,0,,285
2015-12-9,24,18,13,14,9,3,93,60,27,1018,1016,1014,16,13,8,11,0,14,0.00,0,,215
2015-12-10,20,16,11,15,13,11,100,84,68,1017,1014,1011,16,9,0,13,3,23,T,6,Fog,270
2015-12-11,18,15,11,12,5,-1,83,58,33,1012,1010,1007,16,15,3,27,5,45,1.27,2,Rain,317
2015-12-12,20,16,11,0,-1,-2,41,33,24,1019,1015,1011,16,16,16,16,6,31,0.00,0,,323
2015-12-13,19,14,8,13,7,-1,93,63,32,1019,1015,1012,16,12,2,14,3,26,4.06,4,Rain,15
2015-12-14,15,12,8,2,-2,-6,58,41,24,1015,1014,1013,16,16,16,24,11,45,0.00,0,,314
2015-12-15,16,11,6,1,-3,-6,53,38,23,1020,1017,1014,16,16,16,13,3,19,0.00,0,,37
2015-12-16,16,11,4,3,-2,-6,59,42,25,1023,1021,1020,16,16,14,11,2,19,0.00,0,,46
2015-12-17,19,12,6,6,3,-1,71,51,30,1022,1020,1019,16,16,16,11,2,16,0.00,0,,334
2015-12-18,22,16,8,8,1,-4,72,45,18,1020,1017,1014,16,16,16,13,2,16,0.00,0,,353
2015-12-19,18,13,7,11,7,-1,100,69,38,1017,1014,1013,16,11,2,11,2,18,6.60,3,Rain,270
2015-12-20,16,12,7,8,6,3,93,72,51,1023,1021,1017,16,16,11,13,1,18,0.00,0,,345
2015-12-21,17,12,7,12,8,3,86,69,51,1024,1020,1016,16,13,3,11,3,16,0.76,4,Rain,117
2015-12-22,17,14,12,14,12,11,100,92,84,1015,1011,1007,16,9,3,13,4,19,1.78,7,Rain,82
2015-12-23,19,16,11,13,8,-2,100,68,35,1011,1008,1006,16,12,5,14,3,27,0.00,3,,322
2015-12-24,17,13,8,8,3,-2,77,56,35,1016,1014,1011,16,16,16,13,2,24,0.00,1,,288
2015-12-25,15,11,7,6,-3,-8,80,51,21,1021,1019,1015,16,16,16,24,7,40,0.00,0,,324
2015-12-26,17,11,6,-3,-8,-14,49,31,12,1025,1024,1022,16,16,16,21,2,34,0.00,0,,333
2015-12-27,16,9,2,1,-5,-12,62,38,14,1024,1022,1019,16,16,16,13,2,21,0.00,0,,130
2015-12-28,14,9,3,5,-1,-6,64,49,34,1018,1013,1010,16,16,16,16,3,31,T,3,,355
2015-12-29,16,11,5,3,-1,-3,71,50,29,1021,1016,1011,16,16,16,10,1,19,0.00,0,,70
2015-12-30,17,11,5,6,1,-2,80,55,29,1023,1021,1019,16,16,11,11,2,18,0.00,0,,35
2015-12-31,18,12,5,2,-3,-7,70,44,18,1021,1019,1017,16,16,16,11,1,18,0.00,0,,23
