ICT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2016-9-23,30,27,23,26,25,23,100,90,71,1010,1007,1004,10,9,3,19,8,24,13.97,4,Rain,6
2016-9-24,32,29,25,27,26,25,100,89,60,1008,1006,1003,10,8,1,27,6,,108.97,3,Rain-Thunderstorm,299
2016-9-25,31,28,25,26,26,25,100,85,61,1009,1007,1004,10,10,7,13,8,,34.04,3,,227
2016-9-26,33,29,26,26,26,22,100,84,45,1010,1007,1004,10,9,8,16,6,,7.87,4,Rain-Hail-Thunderstorm,242
2016-9-27,33,29,26,26,26,24,100,85,60,1009,1007,1004,10,10,3,19,8,,10.92,2,Rain,262
2016-9-28,33,29,26,26,26,25,100,82,55,1009,1007,1003,10,10,8,19,8,,4.06,2,Rain-Thunderstorm,246
2016-9-29,33,29,26,27,24,23,94,79,55,1009,1006,1003,11,10,6,37,8,,11.94,2,Rain-Thunderstorm,224
2016-9-30,33,29,24,26,24,23,100,80,53,1009,1007,1003,10,9,1,29,8,,51.05,3,Rain-Thunderstorm,273
2016-10-1,32,29,26,27,25,23,100,77,52,1010,1008,1005,10,10,10,21,8,27,51.05,1,Rain,284
2016-10-2,33,30,26,27,26,24,95,82,59,1011,1008,1005,10,10,10,19,6,,0.25,1,Rain,244
2016-10-3,32,28,24,27,25,24,100,87,63,1009,1007,1004,10,9,1,39,13,,55.88,3,Rain-Thunderstorm,316
2016-10-4,33,29,25,27,25,23,100,82,50,1009,1007,1003,10,9,5,19,8,,2.03,2,Rain,162
2016-10-5,31,28,24,27,26,24,100,92,66,1009,1007,1004,10,9,1,24,6,,35.05,3,Rain-Thunderstorm,115
2016-10-6,30,28,26,26,26,24,100,88,70,1010,1007,1005,11,9,7,19,8,,2.03,3,Rain,346
2016-10-7,32,29,25,26,25,24,94,81,55,1011,1008,1005,26,10,9,23,13,,0.00,1,,290
2016-10-8,33,29,25,26,25,24,100,85,62,1012,1009,1006,10,9,8,23,10,,7.11,4,Rain,259
2016-10-9,32,29,26,26,25,24,100,85,59,1010,1009,1005,14,10,8,27,11,,0.76,2,Rain-Thunderstorm,275
2016-10-10,34,30,26,26,25,24,100,78,53,1010,1008,1005,10,10,10,16,8,,0.00,1,,255
2016-10-11,34,30,27,27,26,24,89,78,59,1010,1007,1004,10,10,9,16,8,,0.00,2,Rain,281
2016-10-12,31,29,26,27,26,24,94,82,62,1010,1008,1005,10,9,8,21,6,,1.02,2,Rain,294
2016-10-13,32,29,26,27,26,24,94,79,55,1010,1007,1004,10,8,6,16,6,,0.00,1,,325
2016-10-14,33,30,27,26,25,24,89,73,48,1009,1006,1003,10,9,6,23,10,,0.00,1,,10
2016-10-15,33,30,28,26,24,23,89,73,51,1009,1007,1003,10,10,10,14,6,,0.00,2,,348
2016-10-16,28,27,25,27,26,25,100,91,83,1010,1007,1005,10,9,2,19,8,,82.04,3,Rain-Thunderstorm,311
2016-10-17,31,28,25,27,25,23,100,82,55,1009,1007,1004,10,9,3,21,8,,45.97,3,Rain-Thunderstorm,359
2016-10-18,33,29,26,27,25,22,100,78,50,1008,1006,1003,10,9,3,11,5,,0.00,1,,27
2016-10-19,32,29,27,26,26,24,94,80,60,1007,1005,1003,10,9,5,14,5,,0.25,2,Rain,195
2016-10-20,32,29,26,27,26,23,100,87,61,1007,1005,1003,10,9,2,32,8,,22.10,2,Rain,164
2016-10-21,33,29,25,26,25,23,100,78,49,1009,1006,1004,11,10,10,21,8,,0.00,1,,227
2016-10-22,33,30,27,26,24,22,84,72,49,1010,1008,1005,14,10,10,23,13,50,0.00,2,,248
2016-10-23,33,29,25,25,23,22,89,69,47,1010,1007,1004,26,10,10,24,13,,0.00,1,,250
2016-10-24,33,29,23,26,24,22,100,72,40,1009,1007,1004,10,9,1,19,11,,57.91,2,Rain-Thunderstorm,227
2016-10-25,32,28,23,27,25,23,100,87,63,1011,1008,1005,10,9,5,19,10,,57.91,3,Rain-Thunderstorm,114
2016-10-26,32,29,25,27,26,24,100,88,64,1012,1010,1007,10,9,8,21,8,,0.76,3,Rain-Thunderstorm,102
2016-10-27,32,29,26,27,26,25,100,91,63,1015,1012,1010,10,10,8,19,5,,7.87,2,Rain,45
2016-10-28,33,29,25,26,26,23,100,84,53,1014,1011,1006,10,9,6,16,8,,2.03,2,Rain-Thunderstorm,346
2016-10-29,32,28,24,26,25,24,100,87,62,1013,1011,1008,10,9,8,14,6,,3.05,3,Rain-Thunderstorm,359
2016-10-30,31,28,24,26,25,24,100,89,63,1014,1011,1008,10,9,5,27,6,,7.87,2,Rain-Thunderstorm,10
2016-10-31,32,28,24,26,25,24,100,83,62,1014,1011,1009,11,10,10,19,8,,5.08,2,Rain,50
