BRST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,33,29,26,25,23,19,83,67,43,1011,1009,1007,10,10,10,27,13,,0.00,1,,96
2015-1-2,34,30,27,26,25,24,84,72,56,1012,1009,1008,10,10,10,27,13,,0.00,2,,88
2015-1-3,33,30,27,25,24,22,84,71,59,1015,1014,1011,10,10,7,29,14,,0.00,3,,167
2015-1-4,32,28,25,25,24,23,89,81,66,1016,1014,1012,10,9,4,27,10,,0.00,4,Rain-Thunderstorm,121
2015-1-5,30,27,23,25,23,21,94,82,68,1018,1016,1014,10,7,5,27,11,,3.05,5,Rain-Thunderstorm,77
2015-1-6,31,27,23,24,23,22,89,74,57,1018,1016,1014,19,10,6,23,6,,0.00,4,,98
2015-1-7,33,29,24,24,22,21,78,63,51,1015,1013,1011,19,13,10,21,10,,0.00,1,,109
2015-1-8,35,30,24,23,21,20,78,57,38,1015,1013,1011,19,12,10,24,11,,0.00,1,,181
2015-1-9,38,31,25,24,21,17,79,52,26,1014,1012,1010,19,19,19,19,10,,0.00,,,51
2015-1-10,37,32,27,24,21,16,84,53,30,1013,1011,1010,19,14,10,24,11,,0.00,1,,126
2015-1-11,32,29,26,26,23,19,83,70,53,1014,1012,1011,19,17,10,27,13,,0.00,1,,143
2015-1-12,35,31,26,26,23,20,89,65,49,1013,1012,1009,19,8,2,26,11,,0.00,1,,108
2015-1-13,32,29,27,26,24,21,79,71,52,1013,1012,1010,19,9,6,29,11,,0.00,1,,156
2015-1-14,35,31,26,26,23,22,79,65,49,1014,1012,1010,19,11,9,27,11,,0.00,1,,152
2015-1-15,33,30,27,25,24,21,84,68,56,1014,1013,1011,19,11,8,29,14,,0.00,1,,144
2015-1-16,32,29,26,26,24,21,89,69,52,1016,1014,1013,14,8,5,24,13,,0.00,1,,144
2015-1-17,34,30,25,24,22,21,78,58,37,1014,1012,1010,19,14,10,26,11,,0.00,1,,130
2015-1-18,36,31,26,26,23,19,74,61,45,1013,1012,1010,19,13,10,29,13,,0.00,1,,134
2015-1-19,35,31,27,26,24,21,84,64,42,1014,1012,1010,19,9,5,32,13,,0.00,1,,148
2015-1-20,34,30,26,25,23,21,74,61,48,1011,1010,1009,19,13,10,27,11,,0.00,1,,131
2015-1-21,34,31,27,26,24,14,84,68,31,1014,1011,1009,19,9,5,34,13,,0.25,2,Rain,161
2015-1-22,33,30,24,24,22,2,90,67,21,1015,1013,1011,19,10,5,27,13,,3.05,6,Rain-Thunderstorm,240
2015-1-23,35,29,24,24,23,22,89,67,52,1016,1014,1012,19,10,6,27,11,,0.00,5,,190
