KST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2016-1-1,4,0,-3,-2,-4,-4,88,67,46,1034,1032,1028,16,8,3,21,8,,0.00,,,-1
2016-1-2,9,4,1,5,1,-2,76,66,57,1027,1024,1021,18,10,6,18,8,,0.00,,,-1
2016-1-3,9,7,5,6,4,2,92,76,52,1020,1020,1018,5,3,2,18,8,,0.00,,,-1
2016-1-4,5,3,-1,2,-5,-11,72,48,19,1026,1023,1020,19,11,3,26,14,,0.00,,,-1
2016-1-5,1,-3,-5,-12,-15,-19,40,27,12,1029,1028,1027,19,19,19,18,11,,0.00,,,-1
2016-1-6,2,-2,-5,-7,-10,-13,48,39,34,1028,1026,1024,19,17,14,18,8,,0.00,8,,-1
2016-1-7,1,-3,-6,-9,-12,-17,56,40,13,1026,1025,1024,19,17,14,26,11,,0.00,,,-1
2016-1-8,1,-3,-7,-9,-13,-17,54,36,14,1024,1024,1022,19,19,16,29,8,,0.00,,,-1
2016-1-9,2,-3,-7,-7,-10,-13,60,45,28,1026,1025,1024,19,18,16,32,10,,0.00,,,-1
2016-1-10,3,1,-1,-4,-11,-17,67,35,10,1028,1026,1025,19,18,14,26,13,,0.00,,,-1
2016-1-11,1,-3,-7,-14,-17,-19,36,23,11,1029,1027,1026,19,19,18,29,16,,0.00,,,-1
2016-1-12,1,-5,-9,-12,-16,-18,45,30,13,1027,1025,1023,19,17,14,21,11,,0.00,,,-1
2016-1-13,0,-4,-8,-4,-11,-14,84,54,25,1023,1021,1017,19,18,11,32,10,,0.51,,Snow,-1
2016-1-14,1,-4,-9,-7,-14,-16,60,36,16,1024,1022,1021,19,18,11,14,10,,0.00,,Snow,-1
2016-1-15,5,0,-4,-4,-9,-13,70,44,20,1022,1022,1021,19,16,13,18,10,,0.00,,,-1
2016-1-16,3,0,-2,-3,-6,-9,77,55,41,1024,1023,1022,14,9,3,18,13,,0.00,,Snow,-1
2016-1-17,5,2,-1,-4,-4,-5,68,54,34,1022,1019,1014,10,8,6,21,11,,0.00,8,,-1
2016-1-18,0,-4,-11,-3,-12,-19,83,51,25,1019,1014,1011,19,11,3,40,16,,0.00,8,Snow,-1
2016-1-19,-9,-12,-16,-19,-22,-24,44,32,19,1027,1022,1019,19,19,18,58,29,,0.00,,,-1
2016-1-20,-6,-11,-15,-19,-21,-23,38,29,18,1033,1031,1029,19,19,18,14,8,,0.00,,,-1
2016-1-21,-3,-7,-11,-17,-18,-19,42,31,15,1031,1029,1027,19,19,19,14,8,,0.00,,,-1
2016-1-22,-4,-8,-11,-17,-19,-21,46,27,14,1033,1032,1030,19,19,18,32,13,,0.00,,,-1
2016-1-23,-8,-10,-13,-18,-21,-24,32,26,18,1034,1031,1029,19,19,19,40,19,,0.00,,Snow,-1
2016-1-24,-11,-14,-18,-19,-24,-27,41,32,18,1029,1026,1025,19,18,14,26,13,,0.00,,,-1
2016-1-25,-4,-9,-14,-15,-20,-23,47,33,15,1030,1029,1028,19,19,16,29,8,,0.00,,,-1
2016-1-26,2,-4,-9,-4,-9,-14,78,54,37,1029,1028,1026,19,13,5,14,8,,0.25,,Snow,-1
2016-1-27,4,-1,-5,-7,-9,-12,57,42,25,1031,1029,1028,18,16,14,21,10,,0.00,,,-1
2016-1-28,3,-2,-6,-8,-9,-12,69,44,19,1031,1030,1027,19,18,14,18,8,,0.00,,,-1
2016-1-29,5,2,-2,-5,-10,-15,43,28,17,1027,1026,1024,19,19,19,18,8,,0.00,8,,-1
2016-1-30,5,1,-3,-4,-6,-8,63,50,38,1027,1026,1025,19,18,14,21,11,,0.00,,,-1
2016-1-31,0,-3,-7,-11,-17,-22,46,22,8,1031,1029,1028,19,18,14,21,13,,0.00,,,-1
2016-2-1,-1,-6,-9,-18,-19,-21,34,22,11,1031,1030,1028,19,19,16,26,14,,0.00,,,-1
2016-2-2,1,-5,-10,-14,-17,-18,37,27,13,1030,1029,1027,19,19,18,21,11,,0.00,,,-1
2016-2-3,4,-2,-8,-8,-13,-17,49,34,17,1029,1028,1026,19,19,18,21,10,,0.00,,,-1
2016-2-4,4,-1,-4,-6,-9,-16,67,43,11,1028,1026,1024,19,15,11,35,10,,0.00,,,-1
2016-2-5,3,-2,-7,-9,-16,-19,45,23,8,1026,1024,1022,19,19,19,26,13,,0.00,,,-1
2016-2-6,2,-2,-7,-9,-14,-17,41,27,14,1025,1023,1022,19,19,14,26,14,,0.00,,,-1
2016-2-7,3,-3,-8,-9,-14,-18,48,30,10,1026,1024,1021,19,19,18,26,10,,0.00,,,-1
2016-2-8,5,1,-4,-1,-6,-9,57,51,38,1021,1016,1011,19,15,8,40,13,,0.00,8,,-1
2016-2-9,5,1,-4,-5,-8,-12,59,40,19,1024,1021,1014,19,16,8,29,18,,0.00,,,-1
2016-2-10,11,3,-4,-8,-11,-13,58,31,9,1027,1026,1025,19,19,14,14,6,,0.00,,,-1
2016-2-11,13,7,1,-7,-11,-14,18,14,10,1026,1025,1022,19,19,19,26,14,,0.00,8,,-1
2016-2-12,10,8,7,9,7,2,100,86,45,1022,1018,1016,16,5,2,32,18,,2.03,8,Rain,-1
2016-2-13,14,12,9,12,11,9,100,92,76,1015,1008,1000,14,8,2,29,14,,19.05,8,Rain,-1
2016-2-14,6,1,-4,6,-4,-11,100,71,44,1019,1011,1002,18,11,2,35,24,,0.00,8,Rain-Snow,-1
2016-2-15,-3,-7,-10,-10,-16,-22,54,32,18,1024,1022,1019,23,19,13,35,21,,0.00,,Snow,-1
2016-2-16,1,-3,-7,-4,-8,-11,65,57,44,1021,1019,1015,19,16,3,32,13,,0.76,8,Snow,-1
