SGT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2016-8-25,32,29,26,25,23,21,89,68,46,1010,1008,1006,18,11,10,19,8,,0.00,6,Rain,210
2016-8-26,33,29,26,24,23,19,89,67,37,1011,1009,1007,14,6,2,21,8,35,0.00,6,Rain,224
2016-8-27,33,30,27,26,24,19,84,72,41,1012,1010,1008,10,8,4,11,5,,0.00,6,Rain,219
2016-8-28,32,29,27,25,23,22,89,71,47,1012,1010,1008,10,8,5,14,5,,0.00,6,,194
2016-8-29,32,29,26,26,25,22,94,79,57,1011,1009,1006,14,9,5,23,8,34,9.91,6,Rain,142
2016-8-30,29,27,25,25,24,23,94,84,74,1013,1010,1008,16,9,2,19,8,,6.10,6,Rain-Thunderstorm,176
2016-8-31,32,28,24,26,24,23,94,79,63,1013,1011,1009,16,10,5,23,5,42,0.00,6,Rain,213
2016-9-1,31,28,25,26,24,21,94,83,58,1013,1011,1010,16,8,4,19,5,,4.06,5,Rain-Thunderstorm,259
2016-9-2,31,28,24,25,23,21,94,71,49,1013,1010,1008,16,10,6,13,6,,0.00,6,,229
2016-9-3,32,29,26,24,23,21,89,72,47,1012,1010,1007,14,10,6,13,6,,0.00,5,,196
2016-9-4,33,30,27,25,24,22,89,75,53,1013,1011,1008,14,10,6,14,6,35,2.03,5,Rain-Thunderstorm,59
2016-9-5,31,28,26,25,24,23,89,80,62,1013,1011,1009,16,8,2,11,5,,11.94,5,Rain-Thunderstorm,247
2016-9-6,32,29,26,25,23,21,84,72,51,1013,1011,1008,16,11,9,21,6,,1.02,5,Rain,214
2016-9-7,28,26,24,25,24,21,94,79,60,1013,1011,1010,14,10,5,23,8,47,4.06,6,Rain,217
2016-9-8,32,28,25,25,24,23,79,73,56,1013,1011,1009,16,11,8,21,6,,0.00,6,Rain,202
2016-9-9,32,29,25,25,24,22,89,79,54,1013,1011,1010,14,10,3,16,8,35,7.11,5,Rain-Thunderstorm,176
2016-9-10,29,26,23,25,24,21,94,82,66,1013,1010,1008,16,9,3,23,6,52,3.05,6,Rain-Thunderstorm,222
2016-9-11,32,27,23,26,24,20,94,75,58,1011,1009,1006,16,11,10,24,6,,0.25,5,Rain,207
2016-9-12,28,26,24,25,24,21,94,85,70,1012,1010,1008,11,9,3,13,5,,3.05,5,Rain-Thunderstorm,328
2016-9-13,32,28,24,26,24,22,100,74,48,1012,1010,1007,16,10,8,21,6,,0.00,6,,194
2016-9-14,30,27,23,25,24,22,100,85,70,1013,1010,1007,16,9,2,14,8,39,17.02,6,Rain-Thunderstorm,190
2016-9-15,32,28,23,26,24,22,94,77,49,1012,1010,1007,18,10,5,16,6,,0.00,6,,204
2016-9-16,32,27,22,25,23,20,94,71,50,1012,1009,1006,18,10,1,23,8,45,9.91,5,Rain,207
2016-9-17,32,28,24,25,23,20,89,68,51,1011,1009,1007,16,11,10,13,5,,0.00,6,Rain-Thunderstorm,287
2016-9-18,33,28,22,25,23,22,94,75,48,1011,1009,1007,16,10,5,19,5,47,7.11,6,Rain-Thunderstorm,257
2016-9-19,32,28,24,25,24,23,100,76,52,1011,1009,1006,18,10,3,16,6,37,9.91,6,Rain-Thunderstorm,265
2016-9-20,33,29,25,24,22,20,83,66,41,1011,1009,1005,16,10,7,21,8,39,0.00,6,Rain-Thunderstorm,279
2016-9-21,34,29,24,25,23,20,100,74,41,1012,1010,1008,16,10,7,26,6,,14.99,6,Rain-Thunderstorm,293
2016-9-22,32,28,24,25,24,22,94,77,44,1012,1010,1008,11,9,6,13,5,,0.00,6,,341
2016-9-23,32,29,25,24,22,21,89,69,46,1011,1009,1006,16,10,10,14,5,,0.00,5,Thunderstorm,234
2016-9-24,32,29,26,25,23,21,84,71,49,1010,1008,1005,14,10,8,14,6,,0.00,6,,242
2016-9-25,32,29,26,24,23,20,79,69,50,1011,1008,1006,16,10,8,14,8,,0.00,6,Rain,137
2016-9-26,33,29,25,24,22,21,83,69,40,1011,1009,1006,14,10,10,14,6,,0.00,6,Thunderstorm,266
2016-9-27,30,28,26,24,23,22,89,73,60,1011,1009,1007,11,9,8,16,5,,0.00,6,,1
2016-9-28,34,30,26,25,23,20,94,66,37,1011,1008,1005,16,9,5,13,6,,0.00,5,,354
2016-9-29,34,30,26,24,21,15,84,60,27,1011,1008,1006,16,11,9,16,8,,0.00,6,,334
2016-9-30,34,29,24,25,23,21,89,76,52,1011,1009,1006,14,9,3,14,5,35,7.11,6,Rain-Thunderstorm,340
2016-10-1,31,28,24,24,22,20,83,71,47,1012,1010,1007,18,10,6,14,6,29,0.00,6,Rain,286
2016-10-2,34,30,27,27,23,18,94,66,31,1012,1010,1007,16,10,8,14,5,,0.00,6,Rain,273
2016-10-3,31,26,21,25,23,21,100,72,49,1012,1009,1007,14,10,1,14,6,34,74.93,6,Rain-Thunderstorm,277
2016-10-4,33,28,24,25,23,20,84,71,43,1010,1008,1006,16,10,10,16,5,35,0.00,6,Thunderstorm,288
2016-10-5,32,29,26,25,23,21,89,74,49,1011,1009,1006,14,9,5,13,5,32,0.00,5,Rain-Thunderstorm,275
2016-10-6,30,28,25,25,23,21,89,74,58,1011,1009,1008,14,8,4,13,5,,0.51,6,Rain-Thunderstorm,233
2016-10-7,28,26,23,24,24,23,94,87,73,1014,1011,1009,14,9,2,13,5,,12.95,6,Rain-Thunderstorm,272
2016-10-8,33,28,23,24,22,18,94,66,35,1014,1011,1008,14,10,10,13,5,,0.00,6,Rain,280
2016-10-9,32,28,24,24,22,19,89,65,47,1013,1011,1008,19,11,10,16,5,,0.00,6,Thunderstorm,222
2016-10-10,34,29,25,24,22,20,83,62,37,1011,1009,1006,16,10,6,14,5,,0.00,6,Thunderstorm,310
2016-10-11,34,31,27,24,22,20,84,63,36,1011,1009,1005,18,11,10,16,6,,0.00,6,,316
2016-10-12,34,31,27,24,22,21,79,63,42,1010,1008,1005,16,10,2,16,8,,0.25,5,Rain-Thunderstorm,298
2016-10-13,32,29,27,25,23,21,89,67,49,1010,1008,1005,18,11,10,14,6,,0.00,6,Rain,290
2016-10-14,32,29,25,24,22,20,94,67,43,1010,1008,1005,14,10,5,16,8,35,1.02,6,Rain-Thunderstorm,268
2016-10-15,34,29,24,25,22,18,89,63,31,1010,1008,1005,16,11,10,16,6,,4.06,6,,273
2016-10-16,32,29,25,24,23,20,89,71,39,1010,1008,1006,18,10,4,23,8,45,4.06,6,Rain-Thunderstorm,268
2016-10-17,32,29,27,24,22,20,79,66,40,1010,1008,1006,18,11,10,14,8,,0.00,6,Rain,267
2016-10-18,33,29,26,25,23,21,79,68,48,1010,1008,1005,16,11,10,14,6,,0.00,6,Rain-Thunderstorm,199
2016-10-19,31,27,22,24,23,21,94,74,53,1011,1008,1006,14,10,3,16,10,39,20.07,6,Rain-Thunderstorm,228
2016-10-20,32,28,23,24,23,21,89,69,46,1009,1008,1006,14,10,8,19,6,32,0.00,6,Thunderstorm,223
2016-10-21,32,29,26,26,23,22,89,71,51,1011,1008,1006,16,10,7,19,8,,1.02,5,Rain,198
2016-10-22,32,28,25,25,23,21,89,72,53,1012,1009,1007,14,10,4,16,6,,4.06,5,Rain-Thunderstorm,223
2016-10-23,32,28,24,26,24,21,94,78,47,1011,1009,1008,10,8,6,11,5,,0.51,6,Rain,328
2016-10-24,31,28,25,26,24,23,94,86,65,1011,1009,1006,16,8,3,16,5,,6.10,5,Rain-Thunderstorm,312
2016-10-25,32,28,23,26,24,22,100,83,58,1011,1009,1006,14,9,4,14,5,,8.89,6,Rain-Thunderstorm,99
2016-10-26,31,27,23,25,23,21,100,79,48,1012,1010,1007,14,9,3,13,5,,4.06,6,Rain,256
2016-10-27,31,27,24,25,23,21,94,84,57,1013,1011,1009,16,9,3,13,5,,12.95,5,Rain-Thunderstorm,340
2016-10-28,32,28,24,25,23,21,94,76,53,1013,1010,1007,14,8,6,11,5,,0.00,6,Thunderstorm,345
2016-10-29,30,28,24,26,24,22,100,83,62,1012,1009,1006,16,6,3,13,5,32,5.08,5,Rain-Thunderstorm,277
2016-10-30,30,27,23,25,23,21,94,78,55,1012,1010,1008,16,11,6,14,6,,5.08,6,Rain-Thunderstorm,213
2016-10-31,33,29,26,25,23,21,89,72,44,1012,1010,1008,18,10,6,11,6,,0.00,5,,274
